title,geo_accession,source_name_ch1,Phenotype
HCC001N,GSM1481292,adjacent non-tumorous liver,Non-Tumor
HCC001T,GSM1481293,hepatocellular carcinoma,HCC
HCC002N,GSM1481294,adjacent non-tumorous liver,Non-Tumor
HCC002T,GSM1481295,hepatocellular carcinoma,HCC
HCC003N,GSM1481296,adjacent non-tumorous liver,Non-Tumor
HCC003T,GSM1481297,hepatocellular carcinoma,HCC
HCC004N,GSM1481298,adjacent non-tumorous liver,Non-Tumor
HCC004T,GSM1481299,hepatocellular carcinoma,HCC
HCC005N,GSM1481300,adjacent non-tumorous liver,Non-Tumor
HCC005T,GSM1481301,hepatocellular carcinoma,HCC
HCC006N,GSM1481302,adjacent non-tumorous liver,Non-Tumor
HCC006T,GSM1481303,hepatocellular carcinoma,HCC
HCC007N,GSM1481304,adjacent non-tumorous liver,Non-Tumor
HCC007T,GSM1481305,hepatocellular carcinoma,HCC
HCC008N,GSM1481306,adjacent non-tumorous liver,Non-Tumor
HCC008T,GSM1481307,hepatocellular carcinoma,HCC
HCC009N,GSM1481308,adjacent non-tumorous liver,Non-Tumor
HCC009T,GSM1481309,hepatocellular carcinoma,HCC
HCC010N,GSM1481310,adjacent non-tumorous liver,Non-Tumor
HCC010T,GSM1481311,hepatocellular carcinoma,HCC
HCC011N,GSM1481312,adjacent non-tumorous liver,Non-Tumor
HCC011T,GSM1481313,hepatocellular carcinoma,HCC
HCC012N,GSM1481314,adjacent non-tumorous liver,Non-Tumor
HCC012T,GSM1481315,hepatocellular carcinoma,HCC
HCC013N,GSM1481316,adjacent non-tumorous liver,Non-Tumor
HCC013T,GSM1481317,hepatocellular carcinoma,HCC
HCC014N,GSM1481318,adjacent non-tumorous liver,Non-Tumor
HCC014T,GSM1481319,hepatocellular carcinoma,HCC
HCC015N,GSM1481320,adjacent non-tumorous liver,Non-Tumor
HCC015T,GSM1481321,hepatocellular carcinoma,HCC
HCC016N,GSM1481322,adjacent non-tumorous liver,Non-Tumor
HCC016T,GSM1481323,hepatocellular carcinoma,HCC
HCC017N,GSM1481324,adjacent non-tumorous liver,Non-Tumor
HCC017T,GSM1481325,hepatocellular carcinoma,HCC
HCC018N,GSM1481326,adjacent non-tumorous liver,Non-Tumor
HCC018T,GSM1481327,hepatocellular carcinoma,HCC
