title,geo_accession,source_name_ch1,Phenotype
"Normal, biological rep 19",GSM358227,Normal liver tissue,Normal
"Normal, biological rep 18",GSM358226,Normal liver tissue,Normal
"Normal, biological rep 17",GSM358225,Normal liver tissue,Normal
"Normal, biological rep 16",GSM358224,Normal liver tissue,Normal
"Normal, biological rep 15",GSM358223,Normal liver tissue,Normal
"Normal, biological rep 14",GSM358222,Normal liver tissue,Normal
"Normal, biological rep 13",GSM358221,Normal liver tissue,Normal
"Normal, biological rep 12",GSM358220,Normal liver tissue,Normal
"Normal, biological rep 11",GSM358219,Normal liver tissue,Normal
"Normal, biological rep 10",GSM358218,Normal liver tissue,Normal
"Normal, biological rep 9",GSM358217,Normal liver tissue,Normal
"Normal, biological rep 8",GSM358216,Normal liver tissue,Normal
"Normal, biological rep 7",GSM358215,Normal liver tissue,Normal
"Normal, biological rep 6",GSM358214,Normal liver tissue,Normal
"Normal, biological rep 5",GSM358213,Normal liver tissue,Normal
"Normal, biological rep 4",GSM358212,Normal liver tissue,Normal
"Normal, biological rep 3",GSM358211,Normal liver tissue,Normal
"Normal, biological rep 2",GSM358210,Normal liver tissue,Normal
"Normal, biological rep 1",GSM358209,Normal liver tissue,Normal
"cirrhosis, biological rep 40",GSM358208,liver tissue with cirrhosis,Cirrhosis
"HCC, biological rep 47",GSM358207,liver tissue with HCC,HCC
"cirrhosis, biological rep 39",GSM358206,liver tissue with cirrhosis,Cirrhosis
"cirrhosis, biological rep 38",GSM358205,liver tissue with cirrhosis,Cirrhosis
"HCC, biological rep 46",GSM358204,liver tissue with HCC,HCC
"cirrhosis, biological rep 37",GSM358203,liver tissue with cirrhosis,Cirrhosis
"cirrhosisHCC, biological rep 2",GSM358202,liver tissue with cirrhosisHCC,Cirrhotic HCC
"cirrhosis, biological rep 36",GSM358201,liver tissue with cirrhosis,Cirrhosis
"cirrhosisHCC, match HCC rep 45",GSM358200,liver tissue with cirrhosisHCC,Cirrhotic HCC
"HCC, biological rep 45",GSM358199,liver tissue with HCC,HCC
"cirrhosisHCC, match HCC rep 44-2",GSM358198,liver tissue with cirrhosisHCC,Cirrhotic HCC
"HCC, biological rep 44",GSM358197,liver tissue with HCC,HCC
"cirrhosisHCC, match HCC rep 44",GSM358196,liver tissue with cirrhosisHCC,Cirrhotic HCC
"cirrhosis, biological rep 35",GSM358195,liver tissue with cirrhosis,Cirrhosis
